Price,Close,High,Low,Open,Volume,Log_Returns
Ticker,CACC,CACC,CACC,CACC,CACC,
Date,,,,,,
1999-09-09,5.8125,5.875,5.75,5.8125,28300,-0.010695289116747919
1999-09-10,5.6875,5.875,5.6875,5.875,43100,-0.021739986636405875
1999-09-13,5.6875,5.875,5.5625,5.6875,30600,0.0
1999-09-14,5.8125,5.8125,5.5625,5.625,29300,0.02173998663640582
1999-09-15,5.9375,5.9375,5.8125,5.8125,8400,0.02127739844728488
1999-09-16,5.5625,5.8125,5.5625,5.75,25000,-0.06524052186840097
1999-09-17,5.6875,5.75,5.625,5.6875,13500,0.022223136784710256
1999-09-20,5.75,5.8125,5.75,5.8125,400,0.01092907053219023
1999-09-21,5.6875,5.6875,5.6875,5.6875,4800,-0.010929070532190317
1999-09-22,5.625,5.625,5.625,5.625,1400,-0.011049836186584935
1999-09-23,5.6875,5.75,5.625,5.625,19300,0.011049836186584935
1999-09-24,5.75,5.875,5.625,5.625,25800,0.01092907053219023
1999-09-27,5.8125,5.9375,5.75,5.75,33400,0.010810916104215676
1999-09-28,5.625,5.8125,5.625,5.8125,17000,-0.03278982282299084
1999-09-29,5.75,5.75,5.5,5.5625,46000,0.021978906718775167
1999-09-30,6.0,6.0,5.625,5.625,55200,0.0425596144187959
1999-10-01,6.0,6.0,5.8125,5.9375,39400,0.0
1999-10-04,5.875,5.875,5.625,5.875,17100,-0.02105340919783238
1999-10-05,5.625,5.875,5.625,5.625,4500,-0.04348511193973878
1999-10-06,5.8125,5.875,5.625,5.625,29900,0.03278982282299097
1999-10-07,5.625,5.875,5.625,5.625,42000,-0.03278982282299084
1999-10-08,5.375,5.625,5.3125,5.515625,53000,-0.04546237407675729
1999-10-11,5.5,5.5,5.4375,5.4375,12900,0.02298951822469878
1999-10-12,5.375,5.5,5.375,5.4375,18800,-0.02298951822469872
1999-10-13,5.375,5.625,5.25,5.625,11500,0.0
1999-10-14,5.125,5.375,5.125,5.25,15600,-0.04762804898925459
1999-10-15,5.625,5.625,4.875,5.0625,22900,0.09309042306601203
1999-10-18,5.09375,5.375,5.0,5.125,7800,-0.09920665008344803
1999-10-19,5.0,5.25,5.0,5.0625,14000,-0.01857638557293542
1999-10-20,5.5,5.5,4.9375,5.0,12400,0.09531017980432493
1999-10-21,5.5,5.5,4.875,4.875,16600,0.0
1999-10-22,4.75,4.875,3.5,4.75,182200,-0.1466034741918754
1999-10-25,4.625,4.96875,4.5,4.5,156300,-0.026668247082161294
1999-10-26,4.75,4.75,4.625,4.625,9200,0.026668247082161273
1999-10-27,4.8125,5.0,4.625,4.75,40100,0.0130720815673527
1999-10-28,4.75,5.0,4.625,5.0,15900,-0.013072081567352775
1999-10-29,5.625,5.625,5.0,5.0,118900,0.1690763300439339
1999-11-01,5.0,5.375,5.0,5.375,10000,-0.11778303565638351
1999-11-02,5.25,5.375,4.9375,5.078125,56700,0.04879016416943205
1999-11-03,5.0625,5.15625,4.9375,5.15625,6300,-0.03636764417087483
1999-11-04,5.0,5.0,4.9375,4.9375,11200,-0.012422519998557209
1999-11-05,4.75,5.0,4.75,5.0,10500,-0.05129329438755058
1999-11-08,4.75,4.875,4.625,4.8125,14800,0.0
1999-11-09,4.5625,5.0,4.5,5.0,18800,-0.04027389913793996
1999-11-10,4.875,4.875,4.5,4.5,5400,0.06624938554120066
1999-11-11,4.75,5.0,4.6875,4.6875,85000,-0.025975486403260677
1999-11-12,4.75,4.875,4.75,4.84375,36500,0.0
1999-11-15,4.75,4.84375,4.75,4.8125,54000,0.0
1999-11-16,4.75,4.9375,4.75,4.75,10300,0.0
1999-11-17,4.5,4.75,4.25,4.375,70600,-0.05406722127027582
1999-11-18,4.0,4.5625,3.75,4.375,105900,-0.11778303565638351
1999-11-19,4.0,4.25,3.875,4.09375,154900,0.0
1999-11-22,3.9375,4.125,3.875,3.9375,50700,-0.015748356968139168
1999-11-23,3.96875,4.0,3.9375,3.9375,28300,0.007905179507113247
1999-11-24,3.9375,4.125,3.9375,4.0,38300,-0.007905179507113261
1999-11-26,4.03125,4.03125,4.0,4.0,2200,0.023530497410194036
1999-11-29,4.0625,4.0625,3.9375,3.9375,20400,0.0077220460939103185
1999-11-30,4.0,4.0625,3.9375,4.0625,62100,-0.015504186535965199
1999-12-01,4.0625,4.0625,3.9375,3.9375,27900,0.015504186535965254
1999-12-02,4.0,4.0625,3.875,3.9375,21800,-0.015504186535965199
1999-12-03,3.9375,4.0625,3.875,4.0,47800,-0.015748356968139168
1999-12-06,3.625,4.0625,3.5,4.0,123200,-0.08269171584511341
1999-12-07,3.4375,3.875,3.375,3.75,88700,-0.05310982531394841
1999-12-08,3.25,3.5625,3.125,3.375,133600,-0.056089466651043585
1999-12-09,3.34375,3.5625,3.0,3.125,141900,0.02843793532053341
1999-12-10,3.5,3.5,3.3125,3.3125,77100,0.045670036833188266
1999-12-13,3.34375,3.96875,3.34375,3.78125,242200,-0.04567003683318832
1999-12-14,3.5,3.75,3.3125,3.3125,69200,0.045670036833188266
1999-12-15,3.25,3.75,3.1875,3.375,32700,-0.07410797215372185
1999-12-16,3.375,3.5,3.125,3.25,297400,0.03774032798284711
1999-12-17,3.4375,3.5,3.21875,3.3125,91200,0.018349138668196617
1999-12-20,3.375,3.625,3.25,3.25,81300,-0.01834913866819654
1999-12-21,3.25,3.5,3.25,3.375,60100,-0.037740327982847086
1999-12-22,3.375,3.5,3.25,3.25,157800,0.03774032798284711
1999-12-23,3.5,3.75,3.28125,3.28125,84500,0.03636764417087479
1999-12-27,3.53125,3.625,3.375,3.4375,254900,0.008888947417245994
1999-12-28,3.75,3.9375,3.5,3.5625,126900,0.060103924069705515
1999-12-29,3.6875,3.75,3.625,3.625,38800,-0.01680711831638129
1999-12-30,3.5,3.75,3.5,3.6875,163000,-0.05218575317057019
1999-12-31,3.6875,3.75,3.5,3.5,42200,0.05218575317057025
2000-01-03,3.75,3.8125,3.75,3.75,20200,0.01680711831638119
2000-01-04,3.71875,3.75,3.625,3.6875,34800,-0.00836824967051658
2000-01-05,3.875,3.875,3.5625,3.71875,13300,0.04115807249350755
2000-01-06,3.9375,3.9375,3.6875,3.875,508200,0.01600034134644112
2000-01-07,3.875,3.9375,3.75,3.9375,12100,-0.01600034134644119
2000-01-10,3.8125,3.9375,3.75,3.875,17100,-0.01626052087178029
2000-01-11,3.8125,3.9375,3.8125,3.90625,40100,0.0
2000-01-12,3.625,3.84375,3.625,3.8125,89700,-0.05043085362689197
2000-01-13,3.75,3.8125,3.65625,3.6875,36500,0.033901551675681416
2000-01-14,4.125,4.5,3.8125,3.8125,45300,0.09531017980432493
2000-01-18,4.0,4.125,3.875,4.0625,164200,-0.03077165866675366
2000-01-19,4.3125,4.375,4.125,4.25,27800,0.07522342123758753
2000-01-20,4.25,4.5,4.1875,4.1875,4100,-0.014598799421152636
2000-01-21,4.875,4.875,4.1875,4.21875,31600,0.13720112151348496
2000-01-24,5.5,6.0,4.75,5.0,374300,0.12062798778861472
2000-01-25,4.625,5.75,4.5,5.75,45200,-0.17327172127403667
2000-01-26,4.90625,5.0,4.625,4.96875,29100,0.05903353158419293
2000-01-27,4.71875,4.875,4.5625,4.875,329500,-0.03896596853338372
2000-01-28,4.625,4.734375,4.625,4.71875,59100,-0.020067563050809256
2000-01-31,4.5,4.78125,4.4375,4.4375,34800,-0.027398974188114388
2000-02-01,4.8125,4.875,4.5,4.5,109800,0.06713930283762852
2000-02-02,4.875,5.0,4.5625,4.9375,57500,0.012903404835907782
2000-02-03,4.8125,4.875,4.6875,4.75,217400,-0.012903404835907841
2000-02-04,4.6875,4.875,4.5,4.8125,88600,-0.026317308317373417
2000-02-07,5.125,5.125,4.5625,4.59375,60400,0.08923113372794261
2000-02-08,4.875,5.1875,4.75,5.0,88100,-0.05001042057466142
2000-02-09,4.671875,5.0,4.671875,5.0,25700,-0.04255961441879589
2000-02-10,4.6875,4.75,4.5,4.71875,30500,0.0033389012655146303
2000-02-11,4.53125,4.9375,4.5,4.5,39700,-0.03390155167568134
2000-02-14,4.625,5.0,4.53125,5.0,20000,0.0204785313435407
2000-02-15,4.5625,4.625,4.375,4.625,84700,-0.013605652055778598
2000-02-16,4.59375,4.75,4.53125,4.5625,13500,0.006825965070399891
2000-02-17,4.71875,4.71875,4.375,4.375,18100,0.026847250036188056
2000-02-18,4.71875,4.75,4.5,4.75,57900,0.0
2000-02-22,4.625,4.75,4.4375,4.75,32000,-0.020067563050809256
2000-02-23,4.5625,4.75,4.5625,4.6875,162200,-0.013605652055778598
